>FM1 JGI=Naegr1_63280 Name=IFT88 Other=IFT88
>FM2 JGI=Naegr1_65383 Name=LF4
>FM83 JGI=Naegr1_56340 Name=POC7 Other=UNC119,HRG4
>FM84 JGI=Naegr1_32161 Name=FAP247
>FM85 JGI=Naegr1_63091 Name=SSA4
>FM86 JGI=Naegr1_68114 Name=BBS7
>FM87 JGI=Naegr1_62998 Name=FAP22
>FM89 JGI=Naegr1_70454 Name=POC11
>FM91 JGI=Naegr1_68064 Name=ARL13
>FM93 JGI=Naegr1_62358 Name=FAP69
>FM94 JGI=Naegr1_69688 Name=DPY30
>FM95 JGI=Naegr1_67046 Name=SSA20
>FM96 JGI=Naegr1_30532 Name=ODA12
>FM97 JGI=Naegr1_69956 Name=FAP192
>FM98 JGI=Naegr1_55628 Name=ODA4
>FM99 JGI=Naegr1_38988 Name=ODA2
>FM100 JGI=Naegr1_52938 Name=MOT52
>FM101 JGI=Naegr1_46913 Name=FAP73
>FM102 JGI=Naegr1_56610 Name=MOT25
>FM103 JGI=Naegr1_52840 Name=MOT12
>FM104 JGI=Naegr1_68814 Name=SSA3
>FM105 JGI=Naegr1_80259 Name=D1bLIC
>FM107 JGI=Naegr1_71505 Name=GSTS1
>FM108 JGI=Naegr1_70195 Name=GSTS1
>FM109 JGI=Naegr1_70247 Name=GSTS1
>FM110 JGI=Naegr1_75317 Name=GSTS1
>FM112 JGI=Naegr1_78620 Name=FAP36
>FM113 JGI=Naegr1_49798 Name=RSP4
>FM114 JGI=Naegr1_73137 Name=CAH1
>FM115 JGI=Naegr1_67854 Name=FAP45
>FM116 JGI=Naegr1_68477 Name=FAP65
>FM118 JGI=Naegr1_81845 Name=DHC6
>FM119 JGI=Naegr1_63304 Name=BOP5
>FM120 JGI=Naegr1_4843 Name=CYN40
>FM122 JGI=Naegr1_83269 Name=AAH1
>FM124 JGI=Naegr1_29888 Name=FAP44
>FM125 JGI=Naegr1_50227 Name=FAP14
>FM127 JGI=Naegr1_66079 Name=TRXm
>FM128 JGI=Naegr1_4868 Name=DNJ29
>FM129 JGI=Naegr1_72718 Name=MOT39
>FM131 JGI=Naegr1_64631 Name=FAP269
>FM133 JGI=Naegr1_80835 Name=SSA11
>FM137 JGI=Naegr1_4601 Name=FAP9
>FM140 JGI=Naegr1_61232 Name=MOT37
>FM141 JGI=Naegr1_65873 Name=FAP161
>FM142 JGI=Naegr1_73596 Name=FAP61
>FM144 JGI=Naegr1_62107 Name=POC16
>FM148 JGI=Naegr1_79419 Name=FOX1
>FM149 JGI=Naegr1_73977 Name=FOX1
>FM152 JGI=Naegr1_83064 Name=RIB43a
>FM156 JGI=Naegr1_71996 Name=MOT50
>FM157 JGI=Naegr1_54684 Name=MOT50
>FM158 JGI=Naegr1_67231 Name=PTP1
>FM159 JGI=Naegr1_71676 Name=FAP119
>FM160 JGI=Naegr1_4690 Name=FAP111
>FM161 JGI=Naegr1_29577 Name=POC12 Other=MKS1
>FM162 JGI=Naegr1_59473 Name=PSO2
>FM169 JGI=Naegr1_73917 Name=MOT51
>FM171 JGI=Naegr1_73885 Name=PKHD1-2
>FM173 JGI=Naegr1_82475 Name=GSTS3
>FM175 JGI=Naegr1_78247 Name=PSK1
>FM176 JGI=Naegr1_78184 Name=FKB12
>FM179 JGI=Naegr1_78958 Name=CYG11
>FM180 JGI=Naegr1_68774 Name=CYG11
>FM181 JGI=Naegr1_66783 Name=CYG11
